bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
1.16918,1.16895,1.1693,1.1689,1.16927,1.16904,1.1694,1.16899,708
1.16895,1.16899,1.16903,1.16883,1.16904,1.16907,1.16912,1.16893,239
1.16899,1.16869,1.16899,1.16865,1.16907,1.16878,1.16908,1.16874,416
1.16869,1.16874,1.16879,1.16859,1.16878,1.16883,1.16888,1.16866,351
1.16874,1.16864,1.16877,1.16855,1.16883,1.16872,1.16886,1.16863,266
1.16864,1.16864,1.16877,1.16857,1.16872,1.16873,1.16887,1.16866,264
1.16864,1.16884,1.16888,1.16853,1.16873,1.16893,1.16896,1.16863,243
1.16884,1.16894,1.169,1.16871,1.16893,1.16903,1.16908,1.1688,299
1.16894,1.16904,1.16908,1.16878,1.16903,1.16912,1.16917,1.16887,332
1.16904,1.16916,1.16924,1.16898,1.16912,1.16924,1.16932,1.16908,434
1.16916,1.16907,1.1693,1.16906,1.16924,1.16916,1.16938,1.16913,385
1.16907,1.16935,1.16943,1.16908,1.16916,1.16945,1.16952,1.16916,462
1.16935,1.16935,1.16959,1.16929,1.16945,1.16944,1.16969,1.16937,768
1.16935,1.1694,1.16951,1.16925,1.16944,1.16948,1.1696,1.16934,336
1.1694,1.16951,1.16956,1.16929,1.16948,1.16959,1.16965,1.16938,580
1.16951,1.16885,1.16954,1.16883,1.16959,1.16893,1.16963,1.16892,1145
1.16885,1.1688,1.16889,1.16868,1.16893,1.16889,1.16898,1.16875,571
1.1688,1.169,1.1692,1.16877,1.16889,1.16909,1.16928,1.16886,484
1.169,1.169,1.16912,1.16887,1.16909,1.1691,1.1692,1.16896,471
1.169,1.16955,1.16955,1.16901,1.1691,1.16964,1.16965,1.1691,393
1.16955,1.16937,1.16959,1.1691,1.16964,1.16948,1.16967,1.16918,667
1.16937,1.16924,1.16943,1.16895,1.16948,1.16933,1.16952,1.16904,685
1.16924,1.16953,1.16954,1.16912,1.16933,1.16962,1.16962,1.16921,531
1.16953,1.16908,1.16952,1.16906,1.16962,1.16916,1.16962,1.16914,734
1.16908,1.16919,1.16926,1.16898,1.16916,1.16929,1.16935,1.16907,424
1.16919,1.16911,1.16932,1.169,1.16929,1.16919,1.1694,1.16909,365
1.16911,1.16911,1.16921,1.16907,1.16919,1.16919,1.16929,1.16916,266
1.16911,1.16941,1.16949,1.16911,1.16919,1.16949,1.16957,1.1692,309
1.16941,1.1694,1.16962,1.16939,1.16949,1.16949,1.1697,1.16947,404
1.1694,1.1694,1.16958,1.1694,1.16949,1.16948,1.16965,1.16948,162
1.1694,1.16961,1.16962,1.16931,1.16948,1.16969,1.1697,1.1694,388
1.16961,1.16915,1.16962,1.16913,1.16969,1.16924,1.1697,1.1692,249
1.16915,1.16931,1.16942,1.16911,1.16924,1.1694,1.16948,1.1692,190
1.16931,1.1692,1.16931,1.1692,1.1694,1.16929,1.16939,1.16929,76
1.1692,1.16913,1.16925,1.16904,1.16929,1.16921,1.16935,1.16909,213
1.16913,1.16845,1.16916,1.16835,1.16921,1.16853,1.16924,1.16844,665
1.16845,1.16835,1.16863,1.16815,1.16853,1.16841,1.16873,1.16825,698
1.16835,1.16848,1.1686,1.16832,1.16841,1.16856,1.16869,1.16839,507
1.16848,1.16835,1.16859,1.16829,1.16856,1.16844,1.16868,1.16839,261
1.16835,1.16811,1.16838,1.16807,1.16844,1.1682,1.16847,1.16816,329
1.16811,1.1678,1.16811,1.16766,1.1682,1.16789,1.1682,1.16775,327
1.1678,1.16809,1.16811,1.1678,1.16789,1.16818,1.1682,1.16789,293
1.16809,1.16815,1.16831,1.16801,1.16818,1.16824,1.1684,1.1681,292
1.16815,1.16807,1.16818,1.168,1.16824,1.16815,1.16827,1.16809,194
1.16807,1.16806,1.16811,1.16794,1.16815,1.16815,1.1682,1.16804,107
1.16806,1.16811,1.16812,1.1679,1.16815,1.1682,1.1682,1.16798,157
1.16811,1.1681,1.16814,1.16801,1.1682,1.16819,1.16822,1.1681,128
1.1681,1.16817,1.16823,1.1681,1.16819,1.16825,1.16831,1.16819,85
1.16817,1.16818,1.16822,1.16807,1.16825,1.16825,1.16831,1.16815,200
1.16818,1.16791,1.16819,1.16786,1.16825,1.16801,1.16827,1.16794,167
1.16791,1.16796,1.16799,1.16787,1.16801,1.16806,1.16808,1.16794,163
1.16796,1.16807,1.16812,1.16796,1.16806,1.16815,1.1682,1.16805,72
1.16807,1.16801,1.16808,1.16801,1.16815,1.16809,1.16817,1.16809,61
1.16801,1.16802,1.1681,1.16792,1.16809,1.1681,1.16819,1.168,151
1.16802,1.16794,1.16812,1.16786,1.1681,1.16803,1.1682,1.16795,135
1.16794,1.16777,1.16795,1.16766,1.16803,1.16785,1.16803,1.16776,195
1.16777,1.16781,1.16783,1.16776,1.16785,1.16789,1.16792,1.16785,86
1.16781,1.1678,1.1679,1.16772,1.16789,1.16788,1.16799,1.1678,194
1.1678,1.16756,1.16779,1.16753,1.16788,1.16764,1.16788,1.16762,587
1.16756,1.16777,1.1678,1.16754,1.16764,1.16786,1.16788,1.16762,188
1.16777,1.16725,1.16791,1.16722,1.16786,1.16734,1.16799,1.16731,551
1.16725,1.16662,1.16731,1.1665,1.16734,1.16672,1.1674,1.16659,1442
1.16662,1.16685,1.16689,1.1666,1.16672,1.16694,1.16698,1.16669,421
1.16685,1.16706,1.16711,1.16681,1.16694,1.16715,1.1672,1.1669,292
1.16706,1.16711,1.16723,1.16703,1.16715,1.16719,1.16731,1.16711,247
1.16711,1.16728,1.16732,1.16703,1.16719,1.16735,1.16739,1.16712,257
1.16728,1.16729,1.16752,1.16723,1.16735,1.16738,1.16761,1.16732,341
1.16729,1.16731,1.16737,1.16724,1.16738,1.16739,1.16745,1.16733,166
1.16731,1.1674,1.16743,1.1671,1.16739,1.1675,1.16752,1.16719,268
1.1674,1.16761,1.16763,1.16728,1.1675,1.16769,1.16772,1.16737,299
1.16761,1.16724,1.16762,1.16724,1.16769,1.16733,1.1677,1.16732,283
1.16724,1.16749,1.16752,1.16723,1.16733,1.16758,1.1676,1.16732,329
1.16749,1.16746,1.16817,1.16712,1.16758,1.16755,1.16826,1.16721,1463
1.16746,1.16692,1.1676,1.16683,1.16755,1.167,1.1677,1.16692,1316
1.16692,1.16699,1.16732,1.16674,1.167,1.16708,1.16741,1.16682,906
1.16699,1.16693,1.167,1.1665,1.16708,1.16702,1.16709,1.16659,1433
1.16693,1.16726,1.16734,1.16674,1.16702,1.16734,1.16742,1.16683,1692
1.16726,1.16776,1.16776,1.167,1.16734,1.16785,1.16785,1.16709,1908
1.16776,1.16734,1.16794,1.16729,1.16785,1.16743,1.16804,1.16739,1792
1.16734,1.16754,1.16766,1.16722,1.16743,1.16761,1.16775,1.1673,1609
1.16754,1.16797,1.16799,1.16713,1.16761,1.16805,1.16808,1.16721,1734
1.16797,1.16745,1.16797,1.16744,1.16805,1.16753,1.16803,1.16751,1638
1.16745,1.1674,1.16805,1.1673,1.16753,1.16748,1.16813,1.16739,1429
1.1674,1.16848,1.16857,1.16738,1.16748,1.16854,1.16866,1.16745,2083
1.16848,1.16863,1.1694,1.16847,1.16854,1.16871,1.1695,1.16854,3157
1.16863,1.16869,1.16888,1.16834,1.16871,1.16878,1.16897,1.16843,1385
1.16869,1.16836,1.16869,1.16802,1.16878,1.16845,1.16877,1.1681,1954
1.16836,1.16874,1.16895,1.16836,1.16845,1.16882,1.16903,1.16845,1420
1.16874,1.16899,1.1695,1.16871,1.16882,1.16908,1.16958,1.1688,1514
1.16899,1.16929,1.16945,1.16885,1.16908,1.16938,1.16954,1.16893,1138
1.16929,1.1701,1.17025,1.16919,1.16938,1.17018,1.17035,1.16927,2084
1.1701,1.16961,1.17009,1.16956,1.17018,1.16969,1.17018,1.16963,1096
1.16961,1.16928,1.1698,1.16924,1.16969,1.16939,1.16989,1.16931,1121
1.16928,1.16914,1.16954,1.16911,1.16939,1.16924,1.16962,1.1692,1161
1.16914,1.16852,1.16926,1.16815,1.16924,1.16863,1.16935,1.16825,1641
1.16852,1.16832,1.16886,1.1683,1.16863,1.16842,1.16894,1.1684,1741
1.16832,1.16926,1.16934,1.1683,1.16842,1.16935,1.16943,1.16839,1690
1.16926,1.16935,1.16944,1.16881,1.16935,1.16944,1.16953,1.16889,1377
1.16935,1.16903,1.16974,1.16891,1.16944,1.16914,1.16984,1.169,1226
1.16903,1.16849,1.16904,1.16838,1.16914,1.16857,1.16914,1.16847,1595
