Date,SPY,MSFT,INTC,GS,AMZN,AAPL,.VIX
04/01/2010,113.330002,30.950001,20.879999,173.080002,133.899994,30.572857,20.040001
05/01/2010,113.629997,30.959999,20.870001,176.139999,134.690002,30.625713,19.35
06/01/2010,113.709999,30.77,20.799999,174.259995,132.25,30.138571,19.16
07/01/2010,114.190002,30.450001,20.6,177.669998,130,30.082857,19.059999
08/01/2010,114.57,30.66,20.83,174.309998,133.520004,30.282858,18.129999
11/01/2010,114.730003,30.27,20.950001,171.559998,130.309998,30.015715,17.549999
12/01/2010,113.660004,30.07,20.610001,167.820007,127.349998,29.674286,18.25
13/01/2010,114.620003,30.35,20.959999,169.070007,129.110001,30.092857,17.85
14/01/2010,114.93,30.959999,21.48,168.529999,127.349998,29.918571,17.629999
15/01/2010,113.639999,30.860001,20.799999,165.210007,127.139999,29.418571,17.91
19/01/2010,115.059998,31.1,21.049999,166.860001,127.610001,30.719999,17.58
20/01/2010,113.889999,30.59,21.08,167.789993,125.779999,30.247143,18.68
21/01/2010,111.699997,30.01,20.84,160.869995,126.620003,29.724285,22.27
22/01/2010,109.209999,28.959999,19.91,154.119995,121.43,28.25,27.309999
25/01/2010,109.769997,29.32,20.32,154.979996,120.309998,29.01,25.41
26/01/2010,109.309998,29.5,20,150.880005,119.480003,29.42,24.549999
27/01/2010,109.830002,29.67,20.24,151.5,122.75,29.697144,23.139999
28/01/2010,108.57,29.16,19.92,153.289993,126.029999,28.469999,23.73
29/01/2010,107.389999,28.18,19.4,148.720001,125.410004,27.437143,24.620001
01/02/2010,109.059998,28.41,19.610001,153.130005,118.870003,27.818571,22.59
02/02/2010,110.379997,28.459999,19.91,156.940002,118.120003,27.98,21.48
03/02/2010,109.830002,28.629999,19.68,157.229996,119.099998,28.461428,21.6
04/02/2010,106.440002,27.84,19.02,150.679993,115.940002,27.435715,26.08
05/02/2010,106.660004,28.02,19.469999,154.160004,117.389999,27.922857,26.110001
08/02/2010,105.889999,27.719999,19.35,151.100006,116.830002,27.731428,26.51
09/02/2010,107.220001,28.01,19.65,152.490005,118.029999,28.027143,26
10/02/2010,107.010002,27.99,19.690001,153.630005,117.360001,27.874287,25.4
11/02/2010,108.129997,28.120001,20.059999,154.050003,120.089996,28.381428,23.959999
12/02/2010,108.040001,27.93,20.43,153.929993,119.660004,28.625713,22.73
16/02/2010,109.739998,28.35,20.719999,157.399994,117.529999,29.057142,22.25
17/02/2010,110.260002,28.59,20.66,157.259995,116.309998,28.935715,21.719999
18/02/2010,110.910004,28.969999,20.84,155.729996,118.080002,28.99,20.629999
19/02/2010,111.139999,28.77,20.82,156.179993,117.519997,28.809999,20.02
22/02/2010,111.160004,28.73,20.870001,156.710007,118.010002,28.631428,19.940001
23/02/2010,109.809998,28.33,20.389999,156.699997,117.239998,28.151428,21.370001
24/02/2010,110.82,28.629999,20.700001,158.330002,119.720001,28.665714,20.27
25/02/2010,110.669998,28.6,20.629999,156.440002,118.199997,28.857143,20.1
26/02/2010,110.739998,28.67,20.530001,156.350006,118.400002,29.231428,19.5
01/03/2010,111.889999,29.02,20.870001,156.539993,124.540001,29.855715,19.26
02/03/2010,112.199997,28.459999,20.700001,158.75,125.529999,29.835714,19.059999
03/03/2010,112.300003,28.459999,20.52,157.720001,125.889999,29.904285,18.83
04/03/2010,112.639999,28.629999,20.530001,163.610001,128.529999,30.101429,18.719999
05/03/2010,114.25,28.59,20.790001,167.179993,128.910004,31.278572,17.42
08/03/2010,114.269997,28.629999,20.77,169.839996,130.110001,31.297142,17.790001
09/03/2010,114.459999,28.799999,20.940001,168.850006,128.820007,31.860001,17.92
10/03/2010,114.970001,28.969999,21.190001,171.940002,130.509995,32.119999,18.57
11/03/2010,115.449997,29.18,21.25,173.509995,133.580002,32.214287,18.059999
12/03/2010,115.459999,29.27,21.27,174.960007,131.820007,32.371429,17.58
15/03/2010,115.489998,29.290001,21.17,173.529999,131.130005,31.977142,18
16/03/2010,116.410004,29.370001,22.01,176.190002,131.789993,32.064285,17.690001
17/03/2010,117.099998,29.629999,22.24,176.639999,131.339996,32.017143,16.91
18/03/2010,117.040001,29.610001,22.200001,177.449997,132.759995,32.092857,16.620001
19/03/2010,115.970001,29.59,21.99,177.899994,130.350006,31.75,16.969999
22/03/2010,116.589996,29.6,22.24,176.160004,130.470001,32.107143,16.870001
23/03/2010,117.410004,29.879999,22.67,174.830002,129.259995,32.622856,16.35
24/03/2010,116.839996,29.65,22.43,174.410004,128.039993,32.767143,17.549999
25/03/2010,116.650002,30.01,22.35,174.899994,134.729996,32.378571,18.4
26/03/2010,116.580002,29.66,22.24,172.869995,135.059998,32.985714,17.77
29/03/2010,117.32,29.59,22.33,174.050003,135.119995,33.19857,17.59
30/03/2010,117.400002,29.77,22.34,171.380005,136.580002,33.692856,17.129999
31/03/2010,117,29.290001,22.290001,170.630005,135.770004,33.57143,17.59
01/04/2010,117.800003,29.16,22.389999,170.220001,131.809998,33.709999,17.469999
05/04/2010,118.760002,29.27,22.59,173.160004,131.490005,34.07,17.02
06/04/2010,119.040001,29.32,22.4,172.899994,135.559998,34.220001,16.23
07/04/2010,118.360001,29.35,22.450001,176.360001,134.869995,34.371429,16.620001
08/04/2010,118.769997,29.92,22.309999,179.5,140.960007,34.278572,16.48
09/04/2010,119.550003,30.34,22.549999,179.119995,140.059998,34.541428,16.139999
12/04/2010,119.739998,30.32,22.540001,177.839996,141.199997,34.612858,15.58
13/04/2010,119.830002,30.450001,22.77,179.25,140.160004,34.632858,16.200001
14/04/2010,121.190002,30.82,23.52,184.919998,144.279999,35.098572,15.59
15/04/2010,121.290001,30.870001,24.219999,184.270004,145.820007,35.560001,15.89
16/04/2010,119.360001,30.67,23.92,160.699997,142.169998,35.342857,18.360001
19/04/2010,119.809998,31.040001,24,163.320007,142.429993,35.295715,17.34
20/04/2010,120.879997,31.360001,24.120001,159.979996,144.199997,34.941429,15.73
21/04/2010,120.660004,31.33,23.799999,158.929993,146.429993,37.031429,16.32
22/04/2010,121.019997,31.389999,23.99,159.050003,150.089996,38.067142,16.469999
23/04/2010,121.809998,30.959999,24.040001,157.399994,143.630005,38.689999,16.620001
26/04/2010,121.349998,31.110001,23.82,152.029999,147.110001,38.5,17.469999
27/04/2010,118.480003,30.85,23.35,153.039993,142.020004,37.434284,22.809999
28/04/2010,119.379997,30.91,23.26,157.009995,139.350006,37.371429,21.08
29/04/2010,120.860001,31,23.49,160.240005,141.729996,38.377144,18.440001
30/04/2010,118.809998,30.540001,22.84,145.199997,137.100006,37.298573,22.049999
03/05/2010,120.349998,30.860001,23.26,149.5,137.490005,38.049999,20.190001
04/05/2010,117.519997,30.129999,22.559999,149.449997,129.830002,36.954285,23.84
05/05/2010,116.82,29.85,22.17,148.190002,130.929993,36.57,24.91
06/05/2010,112.940002,28.98,21.51,142.320007,128.710007,35.17857,32.799999
07/05/2010,111.260002,28.209999,21.309999,142.990005,124.980003,33.694286,40.950001
10/05/2010,116.160004,28.940001,22.549999,143.830002,131.289993,36.284286,28.84
11/05/2010,115.830002,28.879999,22.280001,141.970001,130.460007,36.645714,28.32
12/05/2010,117.449997,29.440001,23.09,147.199997,133.869995,37.441429,25.52
13/05/2010,115.989998,29.24,22.5,144.649994,131.470001,36.908573,26.68
14/05/2010,113.889999,28.93,21.889999,143.229996,128.529999,36.259998,31.24
17/05/2010,113.949997,28.940001,22.02,142.639999,128.910004,36.317142,30.84
18/05/2010,112.400002,28.6,21.43,137.360001,126.279999,36.05143,33.549999
19/05/2010,111.760002,28.24,21.6,140.100006,124.589996,35.477142,35.32
20/05/2010,107.540001,27.110001,20.790001,136.100006,119.709999,33.965714,45.790001
21/05/2010,109.110001,26.84,20.91,140.619995,122.720001,34.617142,40.099998
24/05/2010,107.709999,26.27,20.67,136.690002,122.120003,35.251427,38.32
25/05/2010,107.82,26.07,20.85,142.559998,124.860001,35.031429,34.610001
26/05/2010,107.169998,25.01,20.700001,140.300003,123.209999,34.872856,35.02
27/05/2010,110.760002,26,21.76,144.949997,126.699997,36.192856,29.68
28/05/2010,109.370003,25.799999,21.42,144.259995,125.459999,36.697144,32.07
01/06/2010,107.529999,25.889999,21.18,141.860001,123.239998,37.261429,35.540001
02/06/2010,110.330002,26.459999,21.809999,144.830002,126.309998,37.707142,30.17
03/06/2010,110.709999,26.860001,21.9,144.039993,128.759995,37.58857,29.459999
04/06/2010,106.82,25.790001,20.950001,142.25,122.769997,36.565716,35.48
07/06/2010,105.489998,25.290001,20.309999,138.679993,122.010002,35.848572,36.57
08/06/2010,106.620003,25.110001,20.18,137.779999,118.839996,35.618572,33.700001
09/06/2010,106.050003,24.790001,19.93,136.800003,117.910004,34.742859,33.73
10/06/2010,109.150002,25,20.549999,133.770004,123.209999,35.787144,30.57
11/06/2010,109.68,25.66,20.639999,135.639999,123.029999,36.215714,28.790001
14/06/2010,109.510002,25.5,20.889999,133.440002,123.830002,36.325714,28.58
15/06/2010,112,26.58,21.48,136.899994,126.839996,37.098572,25.870001
16/06/2010,111.959999,26.32,21.49,137.059998,126.900002,38.17857,25.92
17/06/2010,112.139999,26.370001,21.52,137.320007,125.889999,38.83857,25.049999
18/06/2010,111.730003,26.440001,21.4,138.179993,125.830002,39.152859,23.950001
21/06/2010,111.410004,25.950001,21.190001,137.740005,122.550003,38.595715,24.879999
22/06/2010,109.57,25.77,20.98,134.789993,122.309998,39.121429,27.049999
23/06/2010,109.230003,25.309999,20.809999,135.070007,121.449997,38.709999,26.91
24/06/2010,107.419998,25,20.32,134.979996,118.330002,38.42857,29.74
25/06/2010,107.870003,24.530001,20.030001,139.660004,121,38.099998,28.530001
28/06/2010,107.529999,24.309999,20.360001,136.660004,117.800003,38.328571,29
29/06/2010,104.209999,23.309999,19.790001,133.759995,108.610001,36.595715,34.130001
30/06/2010,103.220001,23.01,19.450001,131.270004,109.260002,35.932858,34.540001
01/07/2010,102.760002,23.16,19.25,131.139999,110.959999,35.497143,32.860001
02/07/2010,102.199997,23.27,19.200001,131.080002,109.139999,35.277142,30.120001
06/07/2010,102.870003,23.82,19.48,132.259995,110.059998,35.51857,29.65
07/07/2010,106.110001,24.299999,20.139999,135.830002,113.43,36.952858,26.84
08/07/2010,107.160004,24.41,20.1,135.460007,116.220001,36.869999,25.709999
09/07/2010,107.959999,24.27,20.24,138.059998,117.260002,37.08857,24.98
12/07/2010,108.029999,24.83,20.57,137.25,119.510002,36.755714,24.43
13/07/2010,109.660004,25.129999,21.01,140.25,123.650002,35.971428,24.559999
14/07/2010,109.650002,25.440001,21.360001,139.059998,123.300003,36.104286,24.889999
15/07/2010,109.68,25.51,21.51,145.220001,122.059998,35.921429,25.139999
16/07/2010,106.660004,24.889999,21.02,146.169998,118.489998,35.700001,26.25
